mode,config_id,seed,mean_tracking_error,max_tracking_error,final_tracking_error,mean_solve_time_ms,max_solve_time_ms,linear_jerk_rms,angular_jerk_rms,linear_jerk_peak,angular_jerk_peak,infeasible_count,collision_count,total_control_effort,blend_weight_mean,smooth_transitions,checkpoint_completion_rate,mean_time_to_checkpoint,mean_checkpoint_overshoot,checkpoints_reached,checkpoints_missed,wall_time_s
lqr,0,42,1.9197267597064975,3.5856816714786963,3.5856816714786963,0.0,0.0,157.43373587402323,1132.8960472032718,1611.3988532106248,11647.94976050408,0,0,1288.2774988387403,0.0,0,0.10714285714285714,2.44,1.5147716023651876,3,2,0.054173399999854155
lqr,1,43,1.9197267597064975,3.5856816714786963,3.5856816714786963,0.0,0.0,157.43373587402323,1132.8960472032718,1611.3988532106248,11647.94976050408,0,0,1288.2774988387403,0.0,0,0.10714285714285714,2.44,1.5147716023651876,3,2,0.04130529999383725
mpc,0,42,0.8723142497781248,3.4107754539719424,3.4107754539719424,2.696255852902825,35.87649999826681,1399.973777106472,1982.8525532416968,9500.000000000138,14250.000000001093,0,0,1332.009392379665,0.0,0,0.07142857142857142,4.96,1.3199420299289069,2,1,0.8823694000020623
mpc,1,43,0.8723142497781248,3.4107754539719424,3.4107754539719424,3.464422742353385,32.29790000477806,1399.973777106472,1982.8525532416968,9500.000000000138,14250.000000001093,0,0,1332.009392379665,0.0,0,0.07142857142857142,4.96,1.3199420299289069,2,1,1.1241960999905132
hybrid,0,42,2.313567303628977,5.5469970955790515,5.5469970955790515,3.456711665785406,29.813700006343424,1017.1685543885077,1396.360593373799,9049.45420481319,13500.316111733046,0,0,1220.2920720958139,0.2862685024779709,4,0.17857142857142858,1.145,1.2028804552870818,5,2,0.27754139999160543
hybrid,1,43,1.9377782645671011,5.594378994090993,5.594378994090993,4.270316666952567,34.1340000013588,1399.8821539690955,1202.719495437182,8987.649877735666,9235.14308296124,0,0,1326.7035760731242,0.32270265706380147,2,0.10714285714285714,2.71,2.730278856165705,3,2,0.3465938000008464
adaptive,0,42,1.030990572223928,1.8703040309586552,1.0725064994787936,153.1404333349201,274.26989999366924,133.41615825805317,752.487011340678,960.569373132486,5746.137393100361,60,0,518.2805087500242,0.0,0,0.07142857142857142,1.3199999999999998,0.6965576858879071,2,2,12.959972299999208
adaptive,1,43,1.030990572223928,1.8703040309586552,1.0725064994787936,153.057919999992,286.7216000013286,133.41615825805317,752.487011340678,960.569373132486,5746.137393100361,60,6,518.2805087500242,0.0,0,0.07142857142857142,1.3199999999999998,0.6965576858879071,2,2,9.801164799995604
hybrid_adaptive,0,42,1.921238571795865,3.595130409401278,3.595130409401278,150.17885833246206,279.18579999823123,164.5295374214518,1132.6784005860552,1706.0514689215513,11646.424378691469,59,0,1286.9566183247434,0.0007687472845539816,0,0.10714285714285714,2.44,1.5171633521160188,3,2,9.645311200001743
hybrid_adaptive,1,43,1.91878881606631,3.5950429462223625,3.5950429462223625,173.08345333270458,267.33629999216646,163.72922826598258,1129.1803837532152,1713.6066614206993,11640.567103923813,59,0,1286.9897799982766,0.001445225823199603,0,0.10714285714285714,2.44,1.5149148519128772,3,2,11.02100409999548
